,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
1,2020,CA-QC Quebec,Good,Daily,Female,1994,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,26,1,1
2,2020,CA-QC Quebec,Good,Never,Male,1977,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,8,43,1,0
3,2020,CA-ON Ontario,Good,Monthly,Female,1988,I am born in this country,Married,Lower secondary education (ISCED 2),Full time (30 hours a week or more),Government or public institution,Lower middle class,6,32,1,1
4,2020,CA-PE Ile-du-Prince-Edouard,Fair,Never,Female,1965,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Retired/pensioned,Government or public institution,Lower middle class,3,55,0,1
5,2020,CA-ON Ontario,Poor,Daily,Male,1994,I am born in this country,Single,Doctoral or equivalent (ISCED 8),Part time (less than 30 hours a week),Private business or industry,Lower middle class,4,26,0,0
6,2020,CA-ON Ontario,Good,Never,Female,1948,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,7,72,0,1
7,2020,CA-BC Colombie-Britannique,Good,Never,Female,1976,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Lower class,5,44,0,1
8,2020,CA-QC Quebec,Very good,Daily,Male,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,10,33,1,0
9,2020,CA-ON Ontario,Poor,Daily,Male,1961,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,8,59,0,0
10,2020,CA-ON Ontario,Good,Daily,Female,1993,I am born in this country,Single,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,7,27,1,1
11,2020,CA-ON Ontario,Fair,Daily,Female,1958,I am an immigrant to this country (born outside this country),Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,62,1,1
12,2020,CA-ON Ontario,Very poor,Daily,Male,1994,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,1,26,1,0
13,2020,CA-BC Colombie-Britannique,Fair,Never,Female,1952,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,7,68,0,1
14,2020,CA-NL Terre-Neuve-et-Labrador,Poor,Daily,Male,1956,I am born in this country,Living together as married,Primary education (ISCED 1),Retired/pensioned,Private business or industry,Lower middle class,2,64,0,0
15,2020,CA-ON Ontario,Good,Never,Male,1948,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Government or public institution,Upper middle class,8,72,0,0
16,2020,CA-BC Colombie-Britannique,Good,Never,Female,1958,I am an immigrant to this country (born outside this country),Living together as married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Working class,8,62,0,1
17,2020,CA-BC Colombie-Britannique,Good,Daily,Female,1996,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Student,Government or public institution,Lower middle class,6,24,0,1
18,2020,CA-AB Alberta,Fair,Never,Male,1963,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Working class,5,57,1,0
19,2020,CA-AB Alberta,Good,Weekly,Female,1946,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8,74,0,1
20,2020,CA-QC Quebec,Good,Never,Male,1956,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,9,64,0,0
21,2020,CA-QC Quebec,Good,Daily,Female,1956,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Not applicable; Never had a job,Upper middle class,8,64,0,1
22,2020,CA-QC Quebec,Good,Daily,Female,1979,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Homemaker not otherwise employed,Private non-profit organization,Upper class,9,41,0,1
23,2020,CA-QC Quebec,Good,Daily,Male,1983,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,6,37,1,0
24,2020,CA-QC Quebec,Good,Never,Female,1963,I am an immigrant to this country (born outside this country),Living together as married,Short-cycle tertiary education (ISCED 5),Part time (less than 30 hours a week),Private business or industry,Upper middle class,7,57,0,1
25,2020,CA-ON Ontario,Good,Never,Male,1950,I am born in this country,Single,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,7,70,0,0
26,2020,CA-NS Nouvelle-Ecosse,Poor,Daily,Male,1970,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Working class,3,50,1,0
27,2020,CA-ON Ontario,Very good,Daily,Male,1971,I am born in this country,Single,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7,49,0,0
28,2020,CA-QC Quebec,Good,Daily,Female,1989,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,7,31,1,1
29,2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Female,1972,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,9,48,1,1
30,2020,CA-NB Nouveau-Brunswick,Very good,Daily,Female,1981,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Part time (less than 30 hours a week),Private business or industry,Upper middle class,9,39,0,1
31,2020,CA-MB Manitoba,Good,Daily,Female,1992,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,9,28,1,1
32,2020,CA-NS Nouvelle-Ecosse,Very good,Daily,Male,1973,I am born in this country,Divorced,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,47,1,0
33,2020,CA-QC Quebec,Poor,Daily,Female,1966,I am born in this country,Single,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,5,54,0,1
34,2020,CA-PE Ile-du-Prince-Edouard,Good,Daily,Female,1960,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Unemployed,Government or public institution,Lower middle class,4,60,0,1
35,2020,CA-ON Ontario,Fair,Daily,Male,1946,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower class,5,74,0,0
36,2020,CA-QC Quebec,Very poor,Daily,Female,2002,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Government or public institution,Upper middle class,1,18,0,1
37,2020,CA-QC Quebec,Very good,Daily,Male,1992,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,10,28,1,0
38,2020,CA-QC Quebec,Good,Never,Male,1990,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,30,1,0
39,2020,CA-ON Ontario,Fair,Monthly,Male,1972,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,7,48,1,0
40,2020,CA-ON Ontario,Good,Weekly,Male,1965,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,55,1,0
41,2020,CA-BC Colombie-Britannique,Good,Weekly,Male,1992,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,5,28,1,0
42,2020,CA-QC Quebec,Good,Never,Male,1991,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Not applicable; Never had a job,Working class,7,29,0,0
43,2020,CA-ON Ontario,Fair,Daily,Male,1987,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,7,33,1,0
44,2020,CA-QC Quebec,Good,Daily,Female,1973,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Upper middle class,9,47,1,1
45,2020,CA-ON Ontario,Good,Less than monthly,Male,1991,I am an immigrant to this country (born outside this country),Single,Master or equivalent (ISCED 7),Student,Government or public institution,Working class,7,29,0,0
46,2020,CA-MB Manitoba,Good,Daily,Female,1995,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,4,25,0,1
47,2020,CA-ON Ontario,Poor,Weekly,Female,1991,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Not applicable; Never had a job,Lower middle class,2,29,0,1
48,2020,CA-QC Quebec,Good,Daily,Female,1958,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,62,1,1
49,2020,CA-BC Colombie-Britannique,Good,Never,Male,1944,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,7,76,0,0
50,2020,CA-ON Ontario,Good,Weekly,Female,1954,I am an immigrant to this country (born outside this country),Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,7,66,0,1
51,2020,CA-ON Ontario,Good,Daily,Male,1972,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Working class,8,48,0,0
52,2020,CA-QC Quebec,Good,Weekly,Female,1992,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Not applicable; Never had a job,Lower middle class,7,28,1,1
53,2020,CA-QC Quebec,Good,Never,Female,1976,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,6,44,1,1
54,2020,CA-SK Saskatchewan,Very good,Less than monthly,Female,1999,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,10,21,1,1
55,2020,CA-SK Saskatchewan,Fair,Daily,Female,1943,I am an immigrant to this country (born outside this country),Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Working class,7,77,0,1
56,2020,CA-QC Quebec,Fair,Daily,Female,2000,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Student,Government or public institution,Lower middle class,7,20,0,1
57,2020,CA-ON Ontario,Good,Daily,Female,1950,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower middle class,9,70,0,1
58,2020,CA-BC Colombie-Britannique,Fair,Never,Male,1964,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Working class,9,56,0,0
59,2020,CA-ON Ontario,Very poor,Weekly,Female,1990,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Working class,6,30,0,1
60,2020,CA-ON Ontario,Fair,Weekly,Male,1992,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,28,1,0
61,2020,CA-AB Alberta,Good,Weekly,Male,1992,I am born in this country,Married,Upper secondary education (ISCED 3),Student,Private business or industry,Lower middle class,7,28,0,0
62,2020,CA-BC Colombie-Britannique,Good,Daily,Male,1982,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,38,1,0
63,2020,CA-ON Ontario,Good,Daily,Female,1972,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,48,1,1
64,2020,CA-BC Colombie-Britannique,Good,Monthly,Female,2000,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Working class,3,20,0,1
65,2020,CA-AB Alberta,Good,Daily,Male,1981,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,6,39,1,0
66,2020,CA-ON Ontario,Poor,Daily,Male,1990,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,6,30,1,0
67,2020,CA-AB Alberta,Fair,Less than monthly,Male,1967,I am born in this country,Married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Upper middle class,8,53,1,0
68,2020,CA-ON Ontario,Good,Weekly,Male,1998,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,6,22,1,0
69,2020,CA-NS Nouvelle-Ecosse,Good,Daily,Female,1965,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private business or industry,Lower middle class,8,55,0,1
70,2020,CA-BC Colombie-Britannique,Good,Less than monthly,Female,1950,I am an immigrant to this country (born outside this country),Divorced,Master or equivalent (ISCED 7),Retired/pensioned,Private non-profit organization,Lower class,6,70,0,1
71,2020,CA-ON Ontario,Poor,Less than monthly,Male,1994,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Lower middle class,5,26,0,0
72,2020,CA-BC Colombie-Britannique,Fair,Monthly,Male,1962,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,5,58,0,0
73,2020,CA-ON Ontario,Fair,Daily,Female,1986,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Government or public institution,Upper middle class,3,34,0,1
